manufacturer,cpuName,singleScore,multiScore,cores,threads,baseClock,turboClock,type
Intel,Core i9 12900K,2007,27852,16,24,3.2,5.2,Desktop
Intel,Core i9 12900KF,1974,27852,16,24,3.2,5.2,Desktop
Intel,Core i9 12900KS,2082,27796,16,24,3.4,5.5,Desktop
Intel,Core i9 9980XE,1114,27093,18,36,3.0,4.4,Desktop
Intel,Core i9 10980XE,1063,25490,18,36,3.0,4.6,Desktop
Intel,Core i7 12700K,1950,23168,12,20,3.6,5.0,Desktop
Intel,Core i7 12700KF,1958,22997,12,20,3.6,5.0,Desktop
Intel,Core i9 7980XE,1287,18389,18,36,2.6,4.2,Desktop
Intel,Core i9 12900HK,1919,18252,14,20,2.5,5.0,Laptop
Intel,Core i9 9960X,1085,18125,16,32,3.1,4.4,Desktop
Intel,Core i5 12600KF,1929,17979,10,16,3.7,4.9,Desktop
Intel,Core i9 10900KF,1516,17486,10,20,3.7,5.3,Desktop
Intel,Core i5 12600K,1904,17400,10,16,3.7,4.9,Desktop
Intel,Core i7 12700H,1774,16860,14,20,2.3,4.7,Laptop
Intel,Core i9 12900H,1948,16839,14,20,2.5,5.0,Laptop
Intel,Core i9 10940X,1250,16427,14,28,3.3,4.6,Desktop
Intel,Core i9 11900KF,1670,16367,8,16,3.5,5.3,Desktop
Intel,Core i7 12700,1875,16225,12,20,3.6,4.9,Desktop
Intel,Core i9 11900K,1671,16211,8,16,3.5,5.3,Desktop
Intel,Core i7 12800H,1837,15922,14,20,2.4,4.8,Laptop
Intel,Core i9 10850K,1325,15762,10,20,3.6,5.2,Desktop
Intel,Core i9 10920X,1307,15709,12,24,3.5,4.6,Desktop
Intel,Core i9 9940X,1248,15585,14,28,3.3,4.4,Desktop
Intel,Core i9 10900K,1433,15564,10,20,3.7,5.3,Desktop
Intel,Core i9 7960X,1117,15301,16,32,2.8,4.2,Desktop
Intel,Core i7 11700KF,1578,15223,8,16,3.6,5.0,Desktop
Intel,Core i7 11700K,1582,15136,8,16,3.6,5.0,Desktop
Intel,Core i9 9920X,1077,15018,12,24,3.5,4.4,Desktop
Intel,Core i5 12500H,1732,14825,12,16,2.5,4.5,Laptop
Intel,Core i9 10900X,1159,14480,10,20,3.7,4.5,Desktop
Intel,Core i9 9900X,1189,14180,10,20,3.5,4.4,Desktop
Intel,Core i9 11980HK,1591,14028,8,16,2.6,5.0,Laptop
Intel,Core i7 7820X,1371,13641,8,16,3.6,4.3,Desktop
Intel,Core i9 11900,1473,13499,8,16,2.5,5.2,Desktop
Intel,Core i9 10900,1367,13439,10,20,2.8,5.2,Desktop
Intel,Core i7 9800X,1288,13253,8,16,3.8,4.4,Desktop
Intel,Core i9 11900F,1413,13209,8,16,2.5,5.2,Desktop
Intel,Core i5 12500,1824,13145,6,12,3.0,4.6,Desktop
Intel,Core i9 9900KF,1296,12959,8,16,3.6,5.0,Desktop
Intel,Core i9 9900KS,1289,12879,8,16,4.0,5.0,Desktop
Intel,Core i7 10700K,1309,12873,8,16,3.8,5.1,Desktop
Intel,Core i7 10700KF,1309,12873,8,16,3.8,5.1,Desktop
Intel,Core i9 11950H,1591,12860,8,16,2.1,5.0,Laptop
Intel,Core i9 10900T,1283,12648,10,20,1.9,4.6,Desktop
Intel,Core i9 9900K,1358,12581,8,16,3.6,5.0,Desktop
Intel,Core i7 11850H,1546,12442,8,16,2.1,4.8,Laptop
Intel,Core i7 10700F,1272,12440,8,16,2.9,4.8,Desktop
Intel,Core i7 11800H,1514,12342,8,16,1.9,4.6,Laptop
Intel,Core i9 9900,1298,12341,8,16,3.1,5.0,Desktop
Intel,Core i9 11900H,1598,12249,8,16,2.1,4.9,Laptop
Intel,Core i5 12400,1725,12117,6,12,2.5,4.4,Desktop
Intel,Core i5 12400F,1736,12071,6,12,2.5,4.4,Desktop
Intel,Core i9 7900X,1227,12010,10,20,3.3,4.3,Desktop
Intel,Core i5 11600KF,1582,11482,6,12,3.9,4.9,Desktop
Intel,Core i5 11600K,1573,11392,6,12,3.9,4.9,Desktop
Intel,Core i5 11600,1621,11320,6,12,2.8,4.8,Desktop
Intel,Core i7 11700F,1563,11169,8,16,2.5,4.9,Desktop
Intel,Core i9 10900F,1367,10890,10,20,2.8,5.2,Desktop
Intel,Core i7 11600H,1499,10736,6,12,2.5,4.6,Laptop
Intel,Core i9 10980HK,1299,10654,8,16,2.4,5.3,Laptop
Intel,Core i5 10600K,1407,10600,6,12,4.1,4.8,Desktop
Intel,Core i5 10600KF,1407,10600,6,12,4.1,4.8,Desktop
Intel,Core i7 8086K,1344,10342,6,12,4.0,5.0,Desktop
Intel,Core i9 9900T,1233,10337,8,16,2.1,4.4,Desktop
Intel,Core i7 10700T,1285,10322,8,16,2.0,4.5,Desktop
Intel,Core i5 11400F,1346,10235,6,12,2.6,4.4,Desktop
Intel,Core i7 5960X,1089,10117,8,16,3.0,3.5,Desktop
Intel,Core i7 10870H,1235,9986,8,16,2.2,5.0,Laptop
Intel,Core i5 11500,1511,9980,6,12,2.7,4.6,Desktop
